Sample #,Code,Voltage
2580,2987,2.4071 V
2581,2999,2.4168 V
2582,2929,2.3604 V
2583,2925,2.3571 V
2584,3010,2.4256 V
2585,2957,2.3829 V
2586,2969,2.3926 V
2587,3001,2.4184 V
2588,3025,2.4377 V
2589,3023,2.4361 V
2590,2953,2.3797 V
2591,2955,2.3813 V
2592,2927,2.3588 V
2593,2895,2.3330 V
2594,2936,2.3660 V
2595,2920,2.3531 V
2596,2945,2.3733 V
2597,2932,2.3628 V
2598,2996,2.4144 V
2599,2998,2.4160 V
2600,2944,2.3725 V
2601,2904,2.3402 V
2602,2913,2.3475 V
2603,2922,2.3547 V
2604,2862,2.3064 V
2605,2894,2.3322 V
2606,2948,2.3757 V
2607,2931,2.3620 V
2608,2981,2.4023 V
2609,2952,2.3789 V
2610,2951,2.3781 V
2611,2873,2.3152 V
2612,2875,2.3168 V
2613,2901,2.3378 V
2614,2842,2.2903 V
2615,2850,2.2967 V
2616,2886,2.3257 V
2617,2936,2.3660 V
2618,2941,2.3700 V
2619,3014,2.4289 V
2620,2979,2.4007 V
2621,2927,2.3588 V
2622,2935,2.3652 V
2623,2895,2.3330 V
2624,2918,2.3515 V
2625,2865,2.3088 V
2626,2913,2.3475 V
2627,2972,2.3950 V
2628,2986,2.4063 V
2629,2974,2.3966 V
2630,2951,2.3781 V
2631,2997,2.4152 V
2632,2897,2.3346 V
2633,2916,2.3499 V
2634,2901,2.3378 V
2635,2887,2.3265 V
2636,2918,2.3515 V
2637,2903,2.3394 V
2638,2918,2.3515 V
2639,2954,2.3805 V
2640,2921,2.3539 V
2641,2938,2.3676 V
2642,2924,2.3563 V
2643,2863,2.3072 V
2644,2851,2.2975 V
2645,2860,2.3048 V
2646,2823,2.2749 V
2647,2842,2.2903 V
2648,2926,2.3579 V
2649,2920,2.3531 V
2650,2935,2.3652 V
2651,2866,2.3096 V
2652,2847,2.2943 V
2653,2884,2.3241 V
2654,2765,2.2282 V
2655,2798,2.2548 V
2656,2791,2.2492 V
2657,2818,2.2709 V
2658,2860,2.3048 V
2659,2861,2.3056 V
2660,2841,2.2895 V
2661,2812,2.2661 V
2662,2834,2.2838 V
2663,2820,2.2725 V
2664,2821,2.2733 V
2665,2734,2.2032 V
2666,2743,2.2105 V
2667,2826,2.2774 V
2668,2805,2.2604 V
2669,2846,2.2935 V
2670,2852,2.2983 V
2671,2846,2.2935 V
2672,2841,2.2895 V
2673,2815,2.2685 V
2674,2777,2.2379 V
2675,2753,2.2185 V
2676,2734,2.2032 V
2677,2788,2.2467 V
2678,2822,2.2741 V
2679,2797,2.2540 V
2680,2830,2.2806 V
2681,2869,2.3120 V
2682,2845,2.2927 V
2683,2855,2.3007 V
2684,2851,2.2975 V
2685,2799,2.2556 V
2686,2827,2.2782 V
